agent,blocked_egress_line_count,proxy_access_line_count,proxy_denied_count,reason,repo_slug,run_id,status,step,variant
codex,0,204,0,,awaitility_awaitility,20260507T093651Z__awaitility_awaitility__4fc23ccb,passed,andvari-v3,v3
codex,0,162,0,,DantSu_ESCPOS-ThermalPrinter-Android,20260507T093656Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,passed,andvari,generated
codex,0,126,0,,DantSu_ESCPOS-ThermalPrinter-Android,20260507T093656Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,passed,andvari-v2,v2
codex,0,134,0,,DantSu_ESCPOS-ThermalPrinter-Android,20260507T093656Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,passed,andvari-v3,v3
codex,0,174,0,,elvishew_xLog,20260507T093701Z__elvishew_xLog__3faa6b27,passed,andvari,generated
codex,0,132,0,,elvishew_xLog,20260507T093701Z__elvishew_xLog__3faa6b27,passed,andvari-v2,v2
codex,0,174,0,,elvishew_xLog,20260507T093701Z__elvishew_xLog__3faa6b27,passed,andvari-v3,v3
codex,0,122,0,,EsotericSoftware_reflectasm,20260507T093708Z__EsotericSoftware_reflectasm__e34c5e8b,passed,andvari,generated
codex,0,136,0,,EsotericSoftware_reflectasm,20260507T093708Z__EsotericSoftware_reflectasm__e34c5e8b,passed,andvari-v2,v2
codex,0,114,0,,EsotericSoftware_reflectasm,20260507T093708Z__EsotericSoftware_reflectasm__e34c5e8b,passed,andvari-v3,v3
codex,0,136,0,,evant_binding-collection-adapter,20260507T093714Z__evant_binding-collection-adapter__ac7972e1,passed,andvari,generated
codex,0,108,0,,evant_binding-collection-adapter,20260507T093714Z__evant_binding-collection-adapter__ac7972e1,passed,andvari-v2,v2
codex,0,150,0,,evant_binding-collection-adapter,20260507T093714Z__evant_binding-collection-adapter__ac7972e1,passed,andvari-v3,v3
codex,0,272,0,,gothinkster_spring-boot-realworld-example-app,20260507T093719Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,passed,andvari,generated
codex,0,238,0,,gothinkster_spring-boot-realworld-example-app,20260507T093719Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,passed,andvari-v2,v2
codex,0,172,0,,gothinkster_spring-boot-realworld-example-app,20260507T093719Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,passed,andvari-v3,v3
codex,0,210,0,,Grt1228_chatgpt-java,20260507T093724Z__Grt1228_chatgpt-java__ae761b89,passed,andvari,generated
codex,0,166,0,,Grt1228_chatgpt-java,20260507T093724Z__Grt1228_chatgpt-java__ae761b89,passed,andvari-v2,v2
codex,0,172,0,,Grt1228_chatgpt-java,20260507T093724Z__Grt1228_chatgpt-java__ae761b89,passed,andvari-v3,v3
codex,0,166,0,,j-easy_easy-rules,20260507T093731Z__j-easy_easy-rules__d4450831,passed,andvari,generated
codex,0,160,0,,j-easy_easy-rules,20260507T093731Z__j-easy_easy-rules__d4450831,passed,andvari-v2,v2
codex,0,164,0,,j-easy_easy-rules,20260507T093731Z__j-easy_easy-rules__d4450831,passed,andvari-v3,v3
