run_id,repo_slug,agent,variant,variant_label,step,status,reason,proxy_access_line_count,proxy_denied_count,blocked_egress_line_count,denied_or_blocked,main_event_type
20260510T154832Z__evant_binding-collection-adapter__ac7972e1,evant_binding-collection-adapter,claude,v2,Slightly degraded,andvari-v2,passed,,46,0,0,False,none
20260510T154832Z__evant_binding-collection-adapter__ac7972e1,evant_binding-collection-adapter,claude,v3,Moderately degraded,andvari-v3,passed,,26,0,0,False,none
20260510T154845Z__frohoff_ysoserial__218bcffc,frohoff_ysoserial,claude,generated,Best-effort,andvari,passed,,68,0,0,False,none
20260510T154845Z__frohoff_ysoserial__218bcffc,frohoff_ysoserial,claude,v2,Slightly degraded,andvari-v2,passed,,56,0,0,False,none
20260510T154845Z__frohoff_ysoserial__218bcffc,frohoff_ysoserial,claude,v3,Moderately degraded,andvari-v3,error,runner-timeout,106,0,4,True,firewall_block
20260511T105128Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,gothinkster_spring-boot-realworld-example-app,claude,generated,Best-effort,andvari,passed,,86,0,0,False,none
20260511T105128Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,gothinkster_spring-boot-realworld-example-app,claude,v2,Slightly degraded,andvari-v2,passed,,72,0,0,False,none
20260511T105128Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,gothinkster_spring-boot-realworld-example-app,claude,v3,Moderately degraded,andvari-v3,passed,,62,0,0,False,none
20260511T105134Z__Grt1228_chatgpt-java__ae761b89,Grt1228_chatgpt-java,claude,generated,Best-effort,andvari,passed,,56,0,0,False,none
20260511T105134Z__Grt1228_chatgpt-java__ae761b89,Grt1228_chatgpt-java,claude,v2,Slightly degraded,andvari-v2,passed,,58,0,0,False,none
20260511T105134Z__Grt1228_chatgpt-java__ae761b89,Grt1228_chatgpt-java,claude,v3,Moderately degraded,andvari-v3,passed,,56,0,0,False,none
20260511T105140Z__happyfish100_fastdfs-client-java__4e7b6b34,happyfish100_fastdfs-client-java,claude,generated,Best-effort,andvari,passed,,52,0,0,False,none
20260511T105140Z__happyfish100_fastdfs-client-java__4e7b6b34,happyfish100_fastdfs-client-java,claude,v2,Slightly degraded,andvari-v2,passed,,54,0,0,False,none
20260511T105140Z__happyfish100_fastdfs-client-java__4e7b6b34,happyfish100_fastdfs-client-java,claude,v3,Moderately degraded,andvari-v3,passed,,48,0,0,False,none
20260511T105145Z__j-easy_easy-rules__d4450831,j-easy_easy-rules,claude,generated,Best-effort,andvari,passed,,66,0,0,False,none
20260511T105145Z__j-easy_easy-rules__d4450831,j-easy_easy-rules,claude,v2,Slightly degraded,andvari-v2,passed,,64,0,0,False,none
20260511T105145Z__j-easy_easy-rules__d4450831,j-easy_easy-rules,claude,v3,Moderately degraded,andvari-v3,passed,,62,0,0,False,none
20260511T105150Z__JakeWharton_RxRelay__9540ecc7,JakeWharton_RxRelay,claude,generated,Best-effort,andvari,passed,,44,4,0,True,proxy_denial
20260511T105150Z__JakeWharton_RxRelay__9540ecc7,JakeWharton_RxRelay,claude,v2,Slightly degraded,andvari-v2,passed,,30,0,0,False,none
20260511T105150Z__JakeWharton_RxRelay__9540ecc7,JakeWharton_RxRelay,claude,v3,Moderately degraded,andvari-v3,passed,,48,1,0,True,proxy_denial
20260511T105155Z__jOOQ_jOOR__23e17cf3,jOOQ_jOOR,claude,generated,Best-effort,andvari,passed,,46,0,0,False,none
20260511T105155Z__jOOQ_jOOR__23e17cf3,jOOQ_jOOR,claude,v2,Slightly degraded,andvari-v2,passed,,46,0,0,False,none
20260511T105155Z__jOOQ_jOOR__23e17cf3,jOOQ_jOOR,claude,v3,Moderately degraded,andvari-v3,passed,,46,0,0,False,none
20260511T105200Z__LianjiaTech_retrofit-spring-boot-starter__24cb9eda,LianjiaTech_retrofit-spring-boot-starter,claude,generated,Best-effort,andvari,passed,,82,0,0,False,none
20260511T105200Z__LianjiaTech_retrofit-spring-boot-starter__24cb9eda,LianjiaTech_retrofit-spring-boot-starter,claude,v2,Slightly degraded,andvari-v2,passed,,50,0,0,False,none
